Name;price;URL;type
Beastars MilkyWay 04;5.0;https://www.todoconsolas.com/manga/152003-manga_beastars_milkyway_04_po191942-9788417373825.html;Manga
Beastars MilkyWay 05;5.0;https://www.todoconsolas.com/manga/152002-manga_beastars_milkyway_05_po191943-9788417373924.html;Manga
Beastars MilkyWay 06;5.0;https://www.todoconsolas.com/manga/58196-manga_beastars_milkyway_06_po119571-9788417820114.html;Manga
Beck Kanzenban Distrito Manga 02;9.95;https://www.todoconsolas.com/manga/145529-manga_beck_kanzenban_distrito_manga_02_po185868-9788419290137.html;Manga
Berserk MangaLine 01;4.5;https://www.todoconsolas.com/manga/145516-manga_berserk_mangaline_01_po185787-9784932125123.html;Manga
Berserk Mangaline 02;4.5;https://www.todoconsolas.com/manga/3602-manga_berserk_mangaline_02_po17462-9784932125710.html;Manga
Berserk Mangaline 03;4.5;https://www.todoconsolas.com/manga/1888-manga_berserk_mangaline_03_po17463-9784959410233.html;Manga
Berserk Mangaline 04;4.5;https://www.todoconsolas.com/manga/1889-manga_berserk_mangaline_04_po17464-9784959410820.html;Manga
Berserk Mangaline 05;4.5;https://www.todoconsolas.com/manga/3603-manga_berserk_mangaline_05_po17465-9784959411209.html;Manga
Berserk Mangaline 09;4.5;https://www.todoconsolas.com/manga/1893-manga_berserk_mangaline_09_po17469-9784961720313.html;Manga
Berserk Mangaline 11;5.0;https://www.todoconsolas.com/manga/3605-manga_berserk_mangaline_11_po17471-9784959413845.html;Manga
Berserk Mangaline 12;5.0;https://www.todoconsolas.com/manga/3606-manga_berserk_mangaline_12_po17472.html;Manga
Berserk Mangaline 13;5.0;https://www.todoconsolas.com/manga/3607-manga_berserk_mangaline_13_po17473.html;Manga
Berserk Mangaline 14;5.0;https://www.todoconsolas.com/manga/6599-manga_berserk_mangaline_14_po43706.html;Manga
Berserk Mangaline 17;5.0;https://www.todoconsolas.com/manga/6602-manga_berserk_mangaline_17_po43709.html;Manga
Berserk Mangaline 18;5.0;https://www.todoconsolas.com/manga/6603-manga_berserk_mangaline_18_po43710.html;Manga
Berserk Mangaline 20;6.0;https://www.todoconsolas.com/manga/6605-manga_berserk_mangaline_20_po43712.html;Manga
Berserk Mangaline 24;6.0;https://www.todoconsolas.com/manga/27403-manga_berserk_mangaline_24_po43716.html;Manga
Berserk Mangaline 30;6.0;https://www.todoconsolas.com/manga/27404-manga_berserk_mangaline_30_po43722.html;Manga
Besame Ivrea 01;4.0;https://www.todoconsolas.com/manga/28410-manga_besame_ivrea_01_po35213-9788492725830.html;Manga
Besame Ivrea 02;4.0;https://www.todoconsolas.com/manga/28411-manga_besame_ivrea_02_po35214-9788492725847.html;Manga
Beyond The Clouds Planeta 01;4.5;https://www.todoconsolas.com/manga/107899-manga_beyond_the_clouds_planeta_01_po151735-9788413410319.html;Manga
Big Order Ivrea 09;4.0;https://www.todoconsolas.com/manga/148319-manga_big_order_ivrea_09_po188215-9788418450709.html;Manga
Big Order Ivrea 10;4.0;https://www.todoconsolas.com/manga/148377-manga_big_order_ivrea_10_po188211-9788418450716.html;Manga
Biomega Master Edition Panini 01;11.95;https://www.todoconsolas.com/manga/145403-manga_biomega_master_edition_panini_01_po185804-9788411500692.html;Manga
Biomega Panini 01;3.5;https://www.todoconsolas.com/manga/7236-manga_biomega_panini_01_po49380-9788498850598.html;Manga
Biomega Panini 02;4.0;https://www.todoconsolas.com/manga/43236-manga_biomega_panini_02_po49381-9788498850918.html;Manga
Biomega Panini 03;4.5;https://www.todoconsolas.com/manga/43237-manga_biomega_panini_03_po49379-9788498851175.html;Manga
Biomega Panini 04;4.5;https://www.todoconsolas.com/manga/7993-manga_biomega_panini_04_po56493-9788498852530.html;Manga
Bissful Land Milky Way 01;5.0;https://www.todoconsolas.com/manga/85037-manga_bissful_land_milky_way_01_po132329-9788418222436.html;Manga
Black Bullet Ivrea 01;4.0;https://www.todoconsolas.com/manga/25406-manga_black_bullet_ivrea_01_po69149-9788416426522.html;Manga
Black Butler Norma 02;4.0;https://www.todoconsolas.com/manga/32893-manga_black_butler_norma_02_po28132-9788467906844.html;Manga
